label,count,mean_m,mse_m2,rmse_m,p95_m,max_m,ekf_step_p95_m,ekf_step_max_m,reset_count,odom_realign_count,gnss_reject_count,path
data,18336,0.05045110627221792,0.004312667941372232,0.06567090635412483,0.13030200259606814,0.36543051738313276,0.021913398861627596,0.061896347662068085,0,0,0,results/ekf_odom_error_stats/data_ekf_odom_stats.json
data2,21760,0.049016728871907125,0.0037923986612103857,0.06158245416683542,0.11763512812184597,0.32837745853225686,0.05862776329917921,0.18135104118045117,0,0,0,results/ekf_odom_error_stats/data2_ekf_odom_stats.json
