time_s,bag_time_s,reference_time_s,error_m
0.004370212554931641,1781253983.566217,1781253983.5685072,0.12251489767221321
0.014370203018188477,1781253983.576217,1781253983.5685072,0.1360061401216213
0.019370079040527344,1781253983.5812168,1781253983.5685072,0.14197452658261725
0.030369997024536133,1781253983.5922167,1781253983.6017923,0.13722064079497587
0.03437018394470215,1781253983.596217,1781253983.6017923,0.14127773472181998
0.04937005043029785,1781253983.6112168,1781253983.6017923,0.16467793119314572
0.05437016487121582,1781253983.616217,1781253983.6017923,0.17027642779196517
0.06409955024719238,1781253983.6259463,1781253983.6352837,0.16148595181930114
0.06909942626953125,1781253983.6309462,1781253983.6352837,0.1669468614221466
0.07909941673278809,1781253983.6409461,1781253983.6352837,0.18155093258469782
0.08409953117370605,1781253983.6459463,1781253983.6352837,0.18779889599802158
0.09409952163696289,1781253983.6559463,1781253983.6683924,0.17790584069756613
0.09909939765930176,1781253983.6609461,1781253983.6683924,0.18321269761372763
0.11009955406188965,1781253983.6719463,1781253983.6683924,0.19904727952437595
0.11409950256347656,1781253983.6759462,1781253983.6683924,0.20348797575363775
0.12509942054748535,1781253983.6869462,1781253983.701879,0.18896383191730373
0.12909960746765137,1781253983.6909463,1781253983.701879,0.1928848150746691
0.14009952545166016,1781253983.7019463,1781253983.701879,0.2086923116698061
0.14409947395324707,1781253983.7059462,1781253983.701879,0.21312513824939472
0.15509939193725586,1781253983.7169461,1781253983.701879,0.23061108731746055
0.1588289737701416,1781253983.7206757,1781253983.7351205,0.20484313320117686
0.1698288917541504,1781253983.7316756,1781253983.7351205,0.2204441558718162
0.1738288402557373,1781253983.7356756,1781253983.7351205,0.2248173931295977
0.1848289966583252,1781253983.7466757,1781253983.7351205,0.2420202067937573
0.18982887268066406,1781253983.7516756,1781253983.7351205,0.24833659387578075
0.1998288631439209,1781253983.7616756,1781253983.7696855,0.2284609383455266
0.20482897758483887,1781253983.7666757,1781253983.7696855,0.23451707469226377
0.2148289680480957,1781253983.7766757,1781253983.7696855,0.2501921184228623
0.21982884407043457,1781253983.7816756,1781253983.7696855,0.2567512990260252
0.2298288345336914,1781253983.7916756,1781253983.8019266,0.23183146736418606
0.23482894897460938,1781253983.7966757,1781253983.8019266,0.23823593990110867
0.2448289394378662,1781253983.8066757,1781253983.8019266,0.25464476411085607
0.24982881546020508,1781253983.8116755,1781253983.8019266,0.2614612614906091
0.25882887840270996,1781253983.8206756,1781253983.8354335,0.2040935537224084
0.2665584087371826,1781253983.8284051,1781253983.8354335,0.21617552335601906
0.27855825424194336,1781253983.840405,1781253983.8354335,0.23748636100099818
0.28755831718444824,1781253983.849405,1781253983.8354335,0.25202926722857705
