time_s,bag_time_s,reference_time_s,error_m
0.008714914321899414,1781254173.308048,1781254173.3027916,0.02472744652581135
0.014714956283569336,1781254173.314048,1781254173.3027916,0.03548103813732704
0.025444746017456055,1781254173.3247778,1781254173.3353777,0.047083121459930107
0.02944469451904297,1781254173.3287778,1781254173.3353777,0.03766964757617657
0.04044485092163086,1781254173.339778,1781254173.3353777,0.024424008905358757
0.04444479942321777,1781254173.343778,1781254173.3353777,0.03083102174558338
0.05544471740722656,1781254173.3547778,1781254173.3686724,0.04934476778039963
0.06044483184814453,1781254173.359778,1781254173.3686724,0.03572977468134177
0.07044482231140137,1781254173.369778,1781254173.3686724,0.01573496251216233
0.07544469833374023,1781254173.3747778,1781254173.3686724,0.024674052058521006
0.08544468879699707,1781254173.3847778,1781254173.3686724,0.06021479908032905
0.09044480323791504,1781254173.389778,1781254173.4026299,0.05419485479362324
0.10044479370117188,1781254173.399778,1781254173.4026299,0.02232758441371581
0.10544466972351074,1781254173.4047778,1781254173.4026299,0.01793373088179229
0.11444473266601562,1781254173.4137778,1781254173.4026299,0.03932929034183149
0.12017107009887695,1781254173.4195042,1781254173.4350834,0.060869834170866
0.13517117500305176,1781254173.4345043,1781254173.4350834,0.0017572843374113439
0.14017105102539062,1781254173.4395041,1781254173.4350834,0.012143961110339658
0.15017104148864746,1781254173.4495041,1781254173.4350834,0.048137930275652954
0.15517115592956543,1781254173.4545043,1781254173.4672878,0.05875730129143803
0.16517114639282227,1781254173.4645042,1781254173.4672878,0.02181933397575063
0.17017102241516113,1781254173.469504,1781254173.4672878,0.008279992136044119
0.18017101287841797,1781254173.479504,1781254173.4672878,0.032353289536153206
0.18517112731933594,1781254173.4845042,1781254173.4672878,0.046800255401435946
0.20017099380493164,1781254173.499504,1781254173.5025902,0.02686557763159793
0.20917105674743652,1781254173.5085042,1781254173.5025902,0.019786170123070115
0.21517109870910645,1781254173.5145042,1781254173.5025902,0.03229031632509712
0.22417116165161133,1781254173.5235043,1781254173.535437,0.055772838309809177
0.23290133476257324,1781254173.5322344,1781254173.535437,0.027671158052139655
0.23890137672424316,1781254173.5382345,1781254173.535437,0.016122751456800224
0.24990129470825195,1781254173.5492344,1781254173.535437,0.04147582156047236
0.25390124320983887,1781254173.5532343,1781254173.5669394,0.05595879301832036
0.26290130615234375,1781254173.5622344,1781254173.5669394,0.02538844327032034
0.26890134811401367,1781254173.5682344,1781254173.5669394,0.013891873397273097
0.27790117263793945,1781254173.5772343,1781254173.5669394,0.034211525298435595
0.2839012145996094,1781254173.5832343,1781254173.5669394,0.053602033709828745
0.29290127754211426,1781254173.5922344,1781254173.6025898,0.03948956335206279
0.29990124702453613,1781254173.5992343,1781254173.6025898,0.016114794474051848
0.308901309967041,1781254173.6082344,1781254173.6025898,0.019173126826036647
0.31490135192871094,1781254173.6142344,1781254173.6025898,0.03838460272588037
0.3239011764526367,1781254173.6232343,1781254173.6351814,0.03778691325709574
0.3336315155029297,1781254173.6329646,1781254173.6351814,0.0080235105413384
0.34263134002685547,1781254173.6419644,1781254173.6351814,0.03199496764282749
0.3486313819885254,1781254173.6479645,1781254173.6351814,0.05113232735091404
0.3576314449310303,1781254173.6569645,1781254173.6665459,0.025261794745685427
0.3636314868927002,1781254173.6629646,1781254173.6665459,0.012035905434676334
