time_s,bag_time_s,reference_time_s,error_m
0.008714914321899414,1781254173.308048,1781254173.3027916,0.032803455046241284
0.014714956283569336,1781254173.314048,1781254173.3027916,0.04878516824108615
0.025444746017456055,1781254173.3247778,1781254173.3353777,0.035491122374529595
0.02944469451904297,1781254173.3287778,1781254173.3353777,0.025578925229932638
0.04044485092163086,1781254173.339778,1781254173.3353777,0.03098110899003558
0.04444479942321777,1781254173.343778,1781254173.3353777,0.04242972038617273
0.05544471740722656,1781254173.3547778,1781254173.3686724,0.036787403969570184
0.06044483184814453,1781254173.359778,1781254173.3686724,0.02157171834302152
0.07044482231140137,1781254173.369778,1781254173.3686724,0.024537010512303083
0.07544469833374023,1781254173.3747778,1781254173.3686724,0.040852621165405
0.08544468879699707,1781254173.3847778,1781254173.3686724,0.07643012927798956
0.09044480323791504,1781254173.389778,1781254173.4026299,0.036442871292184834
0.10044479370117188,1781254173.399778,1781254173.4026299,0.01847729763742596
0.10544466972351074,1781254173.4047778,1781254173.4026299,0.028751452506448717
0.11444473266601562,1781254173.4137778,1781254173.4026299,0.05713812287627811
0.12017107009887695,1781254173.4195042,1781254173.4350834,0.04001034572468203
0.13517117500305176,1781254173.4345043,1781254173.4350834,0.012088850857309742
0.14017105102539062,1781254173.4395041,1781254173.4350834,0.029363972213787844
0.15017104148864746,1781254173.4495041,1781254173.4350834,0.06406718879965097
0.15517115592956543,1781254173.4545043,1781254173.4672878,0.04042703378315333
0.16517114639282227,1781254173.4645042,1781254173.4672878,0.007711029455637804
0.17017102241516113,1781254173.469504,1781254173.4672878,0.014457022291170971
0.18017101287841797,1781254173.479504,1781254173.4672878,0.04911996560540526
0.18517112731933594,1781254173.4845042,1781254173.4672878,0.06668983032078825
0.20017099380493164,1781254173.499504,1781254173.5025902,0.018539703079780912
0.20917105674743652,1781254173.5085042,1781254173.5025902,0.030626076702269342
0.21517109870910645,1781254173.5145042,1781254173.5025902,0.04913088208320268
0.22417116165161133,1781254173.5235043,1781254173.535437,0.03913995942099159
0.23290133476257324,1781254173.5322344,1781254173.535437,0.016449371770673425
0.23890137672424316,1781254173.5382345,1781254173.535437,0.02189586875020778
0.24990129470825195,1781254173.5492344,1781254173.535437,0.0563723780054864
0.25390124320983887,1781254173.5532343,1781254173.5669394,0.03758396808693937
0.26290130615234375,1781254173.5622344,1781254173.5669394,0.013455541127274604
0.26890134811401367,1781254173.5682344,1781254173.5669394,0.022144462310597454
0.27790117263793945,1781254173.5772343,1781254173.5669394,0.05138404094317217
0.2839012145996094,1781254173.5832343,1781254173.5669394,0.07217830784877867
0.29290127754211426,1781254173.5922344,1781254173.6025898,0.023609888628272686
0.29990124702453613,1781254173.5992343,1781254173.6025898,0.008136437831456959
0.308901309967041,1781254173.6082344,1781254173.6025898,0.03640093159256828
0.31490135192871094,1781254173.6142344,1781254173.6025898,0.057946264717804466
0.3239011764526367,1781254173.6232343,1781254173.6351814,0.019385299384811212
0.3336315155029297,1781254173.6329646,1781254173.6351814,0.01806213243670829
0.34263134002685547,1781254173.6419644,1781254173.6351814,0.04962131890411296
0.3486313819885254,1781254173.6479645,1781254173.6351814,0.07098454875390552
0.3576314449310303,1781254173.6569645,1781254173.6665459,0.011513482632834967
0.3636314868927002,1781254173.6629646,1781254173.6665459,0.02109025305805142
0.374631404876709,1781254173.6739645,1781254173.6665459,0.05863667628337661
0.37963151931762695,1781254173.6789646,1781254173.6665459,0.07648318610481139
0.38863134384155273,1781254173.6879644,1781254173.7023923,0.03331119016190682
0.39463138580322266,1781254173.6939645,1781254173.7023923,0.021576335112973993
0.4046313762664795,1781254173.7039645,1781254173.7023923,0.03957769647770897
0.40963149070739746,1781254173.7089646,1781254173.7023923,0.05625650718687758
0.4196314811706543,1781254173.7189646,1781254173.7353444,0.03058160196722898
0.4243614673614502,1781254173.7236946,1781254173.7353444,0.013829917329749674
0.43436145782470703,1781254173.7336946,1781254173.7353444,0.026375380152437154
0.4393613338470459,1781254173.7386944,1781254173.7353444,0.04458307073513958
0.4503612518310547,1781254173.7496943,1781254173.7353444,0.08487535355994053
0.4543614387512207,1781254173.7536945,1781254173.7687135,0.021623289859301446
0.4653613567352295,1781254173.7646945,1781254173.7687135,0.018783987964332338
0.4693613052368164,1781254173.7686944,1781254173.7687135,0.03326176407523013
0.4783613681793213,1781254173.7776945,1781254173.7687135,0.06593877772522139
0.48736143112182617,1781254173.7866945,1781254173.802649,0.03683542689455327
0.4933614730834961,1781254173.7926946,1781254173.802649,0.01915265666235441
0.5023612976074219,1781254173.8016944,1781254173.802649,0.02654313030048347
0.5083613395690918,1781254173.8076944,1781254173.802649,0.04650147634810569
0.5173614025115967,1781254173.8166945,1781254173.802649,0.07885052990662228
0.5233614444732666,1781254173.8226945,1781254173.835181,0.028475155795528277
0.5330915451049805,1781254173.8324246,1781254173.835181,0.015514843145106922
0.5390915870666504,1781254173.8384247,1781254173.835181,0.03451313773746501
0.5480916500091553,1781254173.8474247,1781254173.835181,0.06683906292879564
0.5540914535522461,1781254173.8534245,1781254173.8686833,0.03868293960511794
0.563091516494751,1781254173.8624246,1781254173.8686833,0.018515043662906013
0.5730915069580078,1781254173.8724246,1781254173.8686833,0.04071150159150273
0.5820915699005127,1781254173.8814247,1781254173.8686833,0.07257066818304572
0.5880916118621826,1781254173.8874247,1781254173.9026773,0.03622334616455594
0.5970914363861084,1781254173.8964245,1781254173.9026773,0.019061065667155742
0.6040916442871094,1781254173.9034247,1781254173.9026773,0.03661595482359371
0.6140916347503662,1781254173.9134247,1781254173.9026773,0.07408581198854665
0.6190915107727051,1781254173.9184246,1781254173.9026773,0.09386510834319814
0.6288213729858398,1781254173.9281545,1781254173.9351723,0.03335262331060666
0.6338214874267578,1781254173.9331546,1781254173.9351723,0.039651393927502096
0.6438214778900146,1781254173.9431546,1781254173.9351723,0.07219191035653781
0.6488213539123535,1781254173.9481544,1781254173.9351723,0.0917793004577477
0.6588215827941895,1781254173.9581547,1781254173.9685836,0.045468256513334075
0.6638214588165283,1781254173.9631546,1781254173.9685836,0.05211748568664127
0.6738214492797852,1781254173.9731545,1781254173.9685836,0.08398165813719065
0.6788215637207031,1781254173.9781547,1781254173.9685836,0.10378910327435291
0.68882155418396,1781254173.9881546,1781254174.0027728,0.04492702422117578
0.6938214302062988,1781254173.9931545,1781254174.0027728,0.0577058659625113
0.7048213481903076,1781254174.0041544,1781254174.0027728,0.0977076685856497
0.7088215351104736,1781254174.0081546,1781254174.0027728,0.11371195505531033
0.7198214530944824,1781254174.0191545,1781254174.0353606,0.057415501067502324
0.7235517501831055,1781254174.0228848,1781254174.0353606,0.07135982093503605
0.7345516681671143,1781254174.0338848,1781254174.0353606,0.11432463406823859
0.7385516166687012,1781254174.0378847,1781254174.0353606,0.130267649672223
0.74955153465271,1781254174.0488846,1781254174.0353606,0.17364755450626074
0.753551721572876,1781254174.0528848,1781254174.0685673,0.07475135033569227
0.7645516395568848,1781254174.0638847,1781254174.0685673,0.11563562088907056
0.7695517539978027,1781254174.0688848,1781254174.0685673,0.1344659847066618
0.7825515270233154,1781254174.0818846,1781254174.0685673,0.18520155223616955
0.7935516834259033,1781254174.0928848,1781254174.1026518,0.110512704555444
0.7975516319274902,1781254174.0968847,1781254174.1026518,0.12628740206668354
0.808551549911499,1781254174.1078846,1781254174.1026518,0.1710560274962738
0.812551736831665,1781254174.1118848,1781254174.1026518,0.18755368754521243
0.8235516548156738,1781254174.1228848,1781254174.1354887,0.1235134409782615
0.8272814750671387,1781254174.1266146,1781254174.1354887,0.13913596163339362
0.8382816314697266,1781254174.1376147,1781254174.1354887,0.18644077921354008
0.8422815799713135,1781254174.1416147,1781254174.1354887,0.20383110874424656
0.8532814979553223,1781254174.1526146,1781254174.1687737,0.13922147568016213
0.8582816123962402,1781254174.1576147,1781254174.1687737,0.16133467690193734
0.8682816028594971,1781254174.1676147,1781254174.1687737,0.2065712644181787
0.8732814788818359,1781254174.1726146,1781254174.1687737,0.2294522157766236
0.8832814693450928,1781254174.1826146,1781254174.1687737,0.2759897009833166
0.8882815837860107,1781254174.1876147,1781254174.2026446,0.17895494684955962
0.8982815742492676,1781254174.1976147,1781254174.2026446,0.22608671190782967
0.9032814502716064,1781254174.2026145,1781254174.2026446,0.24991576654700748
0.9132816791534424,1781254174.2126148,1781254174.2026446,0.298371684512314
0.9182815551757812,1781254174.2176147,1781254174.2026446,0.32280240592992365
0.9290118217468262,1781254174.228345,1781254174.2350843,0.2653338861173682
0.9330117702484131,1781254174.2323449,1781254174.2350843,0.28518824056166286
0.9480116367340088,1781254174.2473447,1781254174.2350843,0.3613037598413265
0.9570116996765137,1781254174.2563448,1781254174.268505,0.2912057996347947
0.9630117416381836,1781254174.2623448,1781254174.268505,0.32198091116497085
0.9720118045806885,1781254174.271345,1781254174.268505,0.36825808089844
0.9780118465423584,1781254174.277345,1781254174.268505,0.3990205736221318
0.9870116710662842,1781254174.2863448,1781254174.3024478,0.32370938584297443
0.9930117130279541,1781254174.2923448,1781254174.3024478,0.35356521351749615
1.002011775970459,1781254174.3013449,1781254174.3024478,0.3979705398004145
1.008011817932129,1781254174.307345,1781254174.3024478,0.42740111604741343
1.0180118083953857,1781254174.317345,1781254174.3024478,0.47584915803415323
1.0220117568969727,1781254174.3213449,1781254174.3353596,0.38045627734748655
1.0327420234680176,1781254174.332075,1781254174.3353596,0.4306232689074512
1.0367419719696045,1781254174.336075,1781254174.3353596,0.44927604424290274
1.0457417964935303,1781254174.345075,1781254174.3353596,0.49076963741223467
1.0517418384552002,1781254174.351075,1781254174.3353596,0.5182360204177393
1.062741994857788,1781254174.362075,1781254174.3686578,0.45360058065540604
1.067741870880127,1781254174.367075,1781254174.3686578,0.47557010951312506
1.0777418613433838,1781254174.377075,1781254174.3686578,0.5189726880690225
1.0827419757843018,1781254174.382075,1781254174.3686578,0.5406374308269128
1.0927419662475586,1781254174.392075,1781254174.4025373,0.4663070764754466
1.0977418422698975,1781254174.397075,1781254174.4025373,0.4871931763939955
1.1077418327331543,1781254174.407075,1781254174.4025373,0.5287277405872605
1.1127419471740723,1781254174.412075,1781254174.4025373,0.5494665156136948
1.122741937637329,1781254174.422075,1781254174.4351342,0.49271624652581697
1.127472162246704,1781254174.4268053,1781254174.4351342,0.5113413939252922
1.137472152709961,1781254174.4368052,1781254174.4351342,0.5505157410664208
1.1424720287322998,1781254174.4418051,1781254174.4351342,0.5701025382537862
1.1524720191955566,1781254174.451805,1781254174.4351342,0.6089660495040772
1.1574721336364746,1781254174.4568052,1781254174.4686384,0.5297315564559845
1.1674721240997314,1781254174.4668052,1781254174.4686384,0.5665230271063877
1.1724720001220703,1781254174.471805,1781254174.4686384,0.5849472924634108
1.1874721050262451,1781254174.4868052,1781254174.5026383,0.5329806379038571
1.19647216796875,1781254174.4958053,1781254174.5026383,0.5636731102055847
1.2024719715118408,1781254174.501805,1781254174.5026383,0.584129023841753
1.2134721279144287,1781254174.5128052,1781254174.5026383,0.621200092284653
1.2174720764160156,1781254174.5168052,1781254174.5026383,0.6346794284816123
1.2322018146514893,1781254174.531535,1781254174.5353262,0.5989496582049447
1.241201639175415,1781254174.5405347,1781254174.5353262,0.626866147242718
1.248201847076416,1781254174.547535,1781254174.5353262,0.648442249838197
1.2562017440795898,1781254174.5555348,1781254174.5686882,0.5968540254038281
1.2632017135620117,1781254174.5625348,1781254174.5686882,0.6167148101953518
1.2732017040252686,1781254174.5725348,1781254174.5686882,0.6447343273503184
1.2782018184661865,1781254174.577535,1781254174.5686882,0.6587115880296514
1.2872016429901123,1781254174.5865347,1781254174.6026955,0.6105369992254356
1.2942018508911133,1781254174.593535,1781254174.6026955,0.6281724990337576
1.302201747894287,1781254174.6015348,1781254174.6026955,0.6481380564782859
1.306201696395874,1781254174.6055348,1781254174.6026955,0.6581079441361376
1.317201852798462,1781254174.616535,1781254174.6026955,0.6849200748157449
1.3209319114685059,1781254174.620265,1781254174.6350722,0.6485925651049315
1.3319318294525146,1781254174.631265,1781254174.6350722,0.6726162265609396
1.3369319438934326,1781254174.636265,1781254174.6350722,0.6835299000516222
1.3469319343566895,1781254174.646265,1781254174.6350722,0.7048883481687293
1.3519318103790283,1781254174.651265,1781254174.6350722,0.7155190652560208
1.3619320392608643,1781254174.6612651,1781254174.6687412,0.6767762199723314
1.3669319152832031,1781254174.666265,1781254174.6687412,0.6860635965551523
1.37693190574646,1781254174.676265,1781254174.6687412,0.7041916604591795
1.381932020187378,1781254174.681265,1781254174.6687412,0.7132202176676616
1.3919320106506348,1781254174.691265,1781254174.702608,0.6678341037884352
1.3969318866729736,1781254174.696265,1781254174.702608,0.675214741172868
1.4079320430755615,1781254174.7072651,1781254174.702608,0.6909499914375143
1.4119319915771484,1781254174.711265,1781254174.702608,0.6966942499618851
1.4226617813110352,1781254174.7219949,1781254174.7351844,0.6606768662568201
1.426661729812622,1781254174.7259948,1781254174.7351844,0.6651520415542272
1.43766188621521,1781254174.736995,1781254174.7351844,0.6769697550542748
1.4416618347167969,1781254174.740995,1781254174.7351844,0.6813052822845849
1.4526617527008057,1781254174.7519948,1781254174.7351844,0.6927097718055469
1.4566619396209717,1781254174.755995,1781254174.7688904,0.6544378616857673
1.4676618576049805,1781254174.766995,1781254174.7688904,0.6617588864981643
1.4806618690490723,1781254174.779995,1781254174.7688904,0.6700254761525334
1.4876618385314941,1781254174.786995,1781254174.802646,0.6150854377539817
1.497661828994751,1781254174.796995,1781254174.802646,0.6178396691873753
1.502661943435669,1781254174.801995,1781254174.802646,0.6192721307721667
1.5116617679595947,1781254174.8109949,1781254174.802646,0.621638782765668
1.5156619548797607,1781254174.814995,1781254174.802646,0.6227369862980605
1.5263912677764893,1781254174.8257244,1781254174.8351135,0.5981662748902159
1.5303912162780762,1781254174.8297243,1781254174.8351135,0.5976668734413894
1.541391372680664,1781254174.8407245,1781254174.8351135,0.5959383268243006
1.545391321182251,1781254174.8447244,1781254174.8351135,0.5953946989757259
1.5603911876678467,1781254174.8597243,1781254174.8687646,0.5773848958888426
1.5693912506103516,1781254174.8687243,1781254174.8687646,0.5722298601396031
1.5763912200927734,1781254174.8757243,1781254174.8687646,0.5682405738844385
1.5863912105560303,1781254174.8857243,1781254174.9025989,0.5535999720494815
1.5913913249969482,1781254174.8907244,1781254174.9025989,0.5485931968719745
1.601391315460205,1781254174.9007244,1781254174.9025989,0.538362210361325
1.606391191482544,1781254174.9057243,1781254174.9025989,0.5333308648533669
1.6163911819458008,1781254174.9157243,1781254174.9025989,0.5231316656421511
1.6211185455322266,1781254174.9204516,1781254174.935169,0.5174111553990414
1.6311185359954834,1781254174.9304516,1781254174.935169,0.502739590338766
1.6361186504364014,1781254174.9354517,1781254174.935169,0.4954804142311185
1.6471185684204102,1781254174.9464517,1781254174.935169,0.4793427392822377
1.651118516921997,1781254174.9504516,1781254174.935169,0.473606072169447
1.662118673324585,1781254174.9614518,1781254174.9688733,0.4667290556937391
1.6661186218261719,1781254174.9654517,1781254174.9688733,0.45919349534571574
1.6771185398101807,1781254174.9764516,1781254174.9688733,0.43823435592006077
1.6811187267303467,1781254174.9804518,1781254174.9688733,0.4307345228647931
1.6921186447143555,1781254174.9914517,1781254175.0026078,0.4509507332132403
1.6961185932159424,1781254174.9954517,1781254175.0026078,0.44159519766413824
1.7071185111999512,1781254175.0064516,1781254175.0026078,0.4154628851211263
1.7111186981201172,1781254175.0104518,1781254175.0026078,0.4060269274069183
1.7258477210998535,1781254175.0251808,1781254175.035136,0.4208648865794098
1.7358477115631104,1781254175.0351808,1781254175.035136,0.3930935214657594
1.7418477535247803,1781254175.0411808,1781254175.035136,0.3763887842104868
1.7508478164672852,1781254175.050181,1781254175.035136,0.35115415121502275
1.756847858428955,1781254175.056181,1781254175.0685878,0.40721937577318135
1.760847806930542,1781254175.060181,1781254175.0685878,0.39493386013108966
1.7698478698730469,1781254175.069181,1781254175.0685878,0.3669178135888441
1.7758476734161377,1781254175.0751808,1781254175.0685878,0.34816348897631166
1.7868478298187256,1781254175.086181,1781254175.102643,0.3996301994249402
1.7908477783203125,1781254175.0901809,1781254175.102643,0.3865237402503088
1.8018476963043213,1781254175.1011808,1781254175.102643,0.3499832688651279
1.8068478107452393,1781254175.106181,1781254175.102643,0.33339745932144704
1.816847801208496,1781254175.116181,1781254175.102643,0.3000633425331258
1.821578025817871,1781254175.1209111,1781254175.1352134,0.3909853485475601
1.831578016281128,1781254175.130911,1781254175.1352134,0.3583055371763539
1.8365778923034668,1781254175.135911,1781254175.1352134,0.34220070114373036
1.8465778827667236,1781254175.145911,1781254175.1352134,0.31039118343297617
1.8515779972076416,1781254175.150911,1781254175.1352134,0.2949742168894896
1.8615779876708984,1781254175.160911,1781254175.168666,0.3741794726363059
1.8665778636932373,1781254175.165911,1781254175.168666,0.3586758807616959
1.8765778541564941,1781254175.175911,1781254175.168666,0.3285613916349679
1.881577968597412,1781254175.180911,1781254175.168666,0.31426304694033225
1.892577886581421,1781254175.191911,1781254175.2016268,0.40657448945062014
1.8965778350830078,1781254175.195911,1781254175.2016268,0.3954153209289698
1.9075779914855957,1781254175.206911,1781254175.2016268,0.3661449238314114
1.9115779399871826,1781254175.210911,1781254175.2016268,0.3563491288434542
1.9205780029296875,1781254175.219911,1781254175.235293,0.4614891333119589
1.9263081550598145,1781254175.2256413,1781254175.235293,0.44728370578865445
1.9353082180023193,1781254175.2346413,1781254175.235293,0.4264435027127707
1.9403080940246582,1781254175.2396412,1781254175.235293,0.41590321631088945
1.955308198928833,1781254175.2546413,1781254175.2685401,0.48721045984444433
1.9663081169128418,1781254175.2656412,1781254175.2685401,0.46400945867307153
1.9703080654144287,1781254175.2696412,1781254175.2685401,0.456552392496444
